time,e1,e2,e3,e4,e5,e6,e7,e8
0.736,294,645,162,942,327,562,607,535
0.759,274,429,145,1049,268,475,510,453
0.781,253,391,147,1071,233,386,436,383
0.796,250,374,141,1100,210,309,359,314
0.819,226,369,145,1064,238,224,292,236
0.842,194,326,140,1129,242,154,249,189
0.856,171,271,141,1115,245,137,240,178
0.879,162,234,172,992,244,126,264,181
0.901,335,319,603,864,277,184,238,243
0.916,466,408,955,1038,260,303,249,282
0.939,604,482,1088,1019,266,345,307,407
0.961,621,518,1185,999,260,342,344,536
0.976,632,521,1348,995,256,354,373,629
0.999,559,464,1299,1019,206,336,375,740
1.021,462,381,1082,851,149,233,347,855
1.043,270,271,950,747,104,151,294,861
1.059,258,252,888,731,107,160,244,842
1.081,224,256,695,771,101,154,162,924
1.104,192,251,659,1090,111,144,142,1257
1.119,172,244,745,1325,115,138,134,1423
1.149,148,237,816,1574,105,143,136,1575
1.164,73,173,781,1700,102,124,143,1677
1.179,65,160,712,1723,104,89,153,1656
1.201,69,179,613,1516,84,77,200,1383
1.224,73,179,480,1295,82,73,291,1145
1.239,68,187,349,977,90,81,328,895
1.261,81,174,279,669,89,85,366,696
1.284,81,171,264,492,85,91,424,679
1.299,95,133,234,436,87,96,446,731
1.321,97,128,464,582,90,103,447,740
1.352,100,112,711,716,79,113,448,844
1.359,106,113,850,914,83,116,605,887
1.381,115,108,1094,1135,81,120,604,855
1.405,99,105,1245,1334,83,120,616,803
1.427,99,99,1393,1507,69,121,640,803
1.441,155,125,1434,1615,67,102,692,756
1.464,154,143,1435,1584,57,97,558,726
1.487,153,147,1291,1452,59,87,542,736
1.501,309,229,1155,1280,50,85,510,762
1.525,549,615,1310,1090,83,125,464,832
1.539,571,631,1362,808,105,191,398,766
1.561,588,636,1483,659,107,196,378,684
1.584,604,643,1634,627,109,215,334,605
1.599,545,621,1730,615,111,217,309,531
1.629,344,251,1473,376,90,197,254,378
1.644,347,289,1284,325,65,136,160,353
1.667,462,418,1072,422,69,179,155,389
1.689,462,436,813,430,71,180,144,458
1.704,748,723,808,499,113,218,146,661
1.727,840,832,861,669,181,369,227,700
1.75,827,864,937,749,205,452,228,734
1.763,776,849,1038,721,206,442,215,739
1.786,765,854,1049,728,208,437,231,749
1.81,492,708,893,688,189,418,235,763
1.832,272,870,774,525,134,297,268,824
1.847,243,1024,666,640,97,152,441,923
1.87,180,1156,428,797,91,131,588,1027
1.884,177,1280,311,936,90,122,688,1151
1.907,165,1309,230,1025,99,152,741,1161
1.929,163,1196,213,1119,100,179,746,1197
1.944,149,1148,183,1021,104,197,696,1184
