time,e1,e2,e3,e4,e5,e6,e7,e8
0.121,1043,1024,867,438,735,877,928,1034
0.146,898,887,713,367,598,725,783,894
0.159,817,813,621,325,517,628,684,812
0.182,715,714,509,272,410,517,570,706
0.199,611,609,394,217,314,409,458,598
0.219,538,532,311,170,229,332,381,523
0.241,506,489,273,143,196,297,341,487
0.258,484,458,252,131,175,277,326,465
0.279,466,437,235,121,163,258,306,446
0.302,448,414,211,107,136,240,287,428
0.318,433,396,194,90,128,223,270,418
0.339,420,385,187,76,112,217,270,418
0.361,416,386,191,83,114,229,276,431
0.378,419,395,198,97,126,239,282,442
0.399,426,409,213,127,144,244,285,454
0.422,433,424,226,149,154,254,295,463
0.438,452,443,238,160,166,261,299,468
0.459,463,451,241,164,172,257,298,464
0.482,465,451,240,159,166,252,296,458
0.498,466,448,236,152,170,243,293,448
0.519,462,439,227,139,162,236,284,440
0.542,452,426,213,129,150,231,276,431
0.558,442,413,202,121,135,221,268,420
0.579,433,402,193,116,125,217,260,409
0.602,416,384,174,99,99,210,254,398
0.624,400,366,161,89,92,199,245,382
0.639,385,354,162,84,88,199,245,378
0.661,383,352,166,85,101,208,254,392
0.684,393,368,180,102,125,221,269,412
0.7,400,383,191,116,147,229,273,422
0.721,411,395,200,131,155,241,279,435
0.743,409,394,194,149,170,228,267,428
0.758,391,379,192,166,195,212,242,397
0.781,357,346,200,171,215,190,208,353
0.803,325,312,219,183,250,184,190,318
0.818,288,283,263,194,275,192,166,275
0.841,258,257,297,199,293,212,164,243
0.872,236,244,328,195,296,237,171,223
0.879,214,228,345,190,290,260,189,207
0.901,196,229,356,180,270,279,210,181
0.924,175,226,338,162,251,271,223,161
0.939,164,231,322,148,229,264,228,149
0.961,154,238,295,134,207,245,224,144
0.984,156,241,263,122,188,221,209,137
0.999,147,226,221,110,163,185,183,143
1.021,137,204,187,104,142,163,159,136
1.044,154,204,170,91,123,153,151,149
1.067,267,285,283,127,190,231,210,242
1.089,385,404,393,187,285,311,284,352
1.104,499,517,477,217,345,377,349,447
1.127,570,588,529,240,384,419,393,510
1.148,590,608,540,244,394,426,400,524
1.164,557,572,483,223,361,383,368,498
1.186,495,496,393,176,288,317,314,439
1.209,401,387,283,130,207,236,245,356
1.224,318,294,167,82,124,157,185,291
1.254,302,261,121,66,93,132,177,292
1.268,312,285,122,76,100,152,204,305
1.284,327,314,144,85,124,179,227,330
1.306,354,347,167,109,143,208,246,364
1.329,384,377,197,124,161,226,260,392
1.344,406,401,211,137,167,238,267,405
1.367,428,416,216,137,170,238,268,413
1.388,428,406,205,132,156,223,260,403
1.404,419,390,189,117,141,199,243,382
1.427,399,362,157,102,122,175,227,354
1.45,383,341,126,87,109,151,214,332
1.464,348,308,109,87,113,131,189,311
1.486,322,289,115,94,124,121,167,289
1.508,293,263,119,99,133,112,152,264
1.524,273,247,115,93,126,101,143,250
1.546,261,234,117,93,125,118,141,248
1.569,272,245,122,86,116,129,160,259
1.584,297,269,127,79,110,148,193,294
1.606,331,310,147,82,114,172,220,333
1.629,357,343,168,107,140,202,241,367
1.644,377,371,185,120,165,212,258,383
1.667,396,394,200,136,177,220,276,406
1.69,422,418,215,142,180,230,279,418
1.704,436,426,211,142,179,236,287,425
1.726,439,428,209,127,163,221,280,416
1.749,431,411,202,121,151,209,268,410
1.763,416,391,185,105,136,195,247,384
1.786,385,356,155,93,127,176,226,355
1.81,349,316,131,85,113,143,201,322
1.825,326,284,110,83,110,140,191,302
1.846,309,267,92,78,94,132,184,292
1.87,295,248,92,83,94,131,174,283
1.884,281,247,186,110,146,155,184,270
1.906,299,332,340,168,242,259,247,284
1.93,380,486,486,224,345,379,339,342
1.944,440,577,591,261,412,468,407,394
1.967,482,646,648,285,451,518,456,429
1.99,505,679,660,292,457,538,474,448
2.012,500,658,612,269,428,510,455,440
2.027,433,557,513,225,356,432,392,388
2.05,359,460,396,180,280,336,320,316
2.072,283,353,295,139,212,254,245,250
2.087,218,265,212,102,170,188,191,202
2.11,156,197,160,80,133,143,141,159
2.132,129,155,128,79,115,115,116,127
2.155,100,125,93,77,106,97,94,111
2.17,88,100,66,66,98,82,73,94
2.192,76,82,63,63,82,68,66,73
2.206,74,76,58,62,80,60,62,72
2.23,73,64,58,54,78,59,62,79
2.252,74,64,57,49,72,55,67,74
2.266,78,65,61,53,67,53,69,76
2.29,78,64,56,51,62,49,67,75
2.312,80,64,54,51,56,51,69,76
2.327,82,59,56,51,53,45,67,69
2.35,85,57,54,47,57,44,59,78
2.372,85,55,54,44,64,50,64,81
2.387,85,59,53,48,70,54,70,83
2.409,87,60,57,51,73,57,72,84
2.433,86,67,53,51,74,59,73,84
2.446,86,81,55,53,76,60,76,81
2.469,83,79,59,51,72,57,66,78
2.492,80,77,58,51,77,57,63,75
2.506,76,76,54,49,79,54,63,74
2.529,74,75,56,49,82,57,65,79
2.552,76,66,55,49,78,63,67,82
2.566,82,71,56,50,76,62,69,81
2.59,90,76,64,49,74,59,71,85
2.612,97,77,63,47,71,61,69,92
2.626,100,76,68,50,73,61,66,90
