time,e1,e2,e3,e4,e5,e6,e7,e8
0.114,42,148,93,74,280,112,51,47
0.13,39,116,68,77,264,90,52,40
0.153,41,110,65,78,241,74,43,35
0.174,35,89,57,71,249,61,38,30
0.251,36,72,58,82,259,56,43,27
0.26,36,60,67,82,258,58,41,27
0.267,37,60,78,88,250,51,37,23
0.281,33,49,77,86,241,47,42,23
0.283,37,51,88,98,229,48,43,27
0.287,39,57,85,98,247,51,47,28
0.308,39,59,79,92,250,52,50,31
0.326,36,61,73,83,249,51,51,32
0.346,42,74,84,95,207,58,50,33
0.369,39,74,72,83,206,56,47,30
0.385,40,90,79,77,173,51,38,30
0.413,42,93,84,82,222,50,35,28
0.431,46,89,81,80,233,48,41,27
0.475,41,79,73,65,242,40,37,28
0.544,40,76,79,67,242,45,37,28
0.546,39,56,69,69,304,53,39,28
0.55,43,62,92,74,272,59,42,29
0.552,39,57,100,77,263,62,36,29
0.553,40,61,105,78,252,61,38,27
0.565,44,61,104,74,248,56,39,26
0.594,42,65,104,74,194,53,38,27
0.617,39,71,81,70,217,45,33,24
0.624,42,75,73,70,223,41,36,24
0.646,43,74,73,76,226,43,33,28
0.669,38,81,81,83,215,42,32,28
0.685,40,81,88,87,185,41,35,26
0.715,37,74,86,84,160,46,37,26
0.737,34,77,85,89,158,56,33,27
0.745,38,86,79,81,168,59,35,23
0.766,41,85,75,84,186,59,35,26
0.79,44,80,78,98,226,62,37,27
0.813,46,76,80,102,210,61,44,29
0.828,46,69,76,97,203,59,49,28
0.85,45,58,78,107,215,58,50,33
0.871,45,77,94,105,206,59,53,31
0.886,41,81,88,86,156,56,52,29
0.917,41,83,98,93,148,53,46,29
0.939,43,87,109,94,231,54,42,30
0.946,41,94,114,93,230,56,41,26
0.969,40,86,116,105,227,56,38,28
0.991,46,90,115,109,235,53,38,27
1.039,45,93,106,104,237,52,39,28
1.041,43,91,99,109,178,62,49,30
1.06,41,83,90,103,174,59,49,28
1.081,42,91,86,86,174,59,51,28
1.089,44,101,103,105,173,65,56,33
1.111,43,96,102,104,171,64,56,30
1.133,41,97,103,100,183,53,51,29
1.165,40,102,108,98,169,54,51,28
1.181,42,97,108,105,172,55,52,30
1.202,36,85,95,84,173,48,42,27
1.209,38,85,94,82,193,51,43,27
1.231,43,114,121,98,162,50,40,28
1.253,45,111,117,105,166,51,42,30
1.277,42,99,102,98,157,48,41,29
1.3,40,97,105,106,145,49,47,29
1.322,42,103,104,105,149,48,45,31
1.346,39,73,66,86,151,44,44,32
1.367,44,71,68,80,141,43,41,31
1.382,42,72,66,79,149,47,39,29
1.404,44,73,55,67,171,49,34,29
1.427,49,69,73,94,153,51,40,29
1.433,50,67,73,97,137,49,38,26
1.457,47,65,79,98,139,51,36,27
1.479,49,75,87,104,132,49,37,27
1.493,50,73,83,100,221,48,44,27
1.533,40,73,71,80,227,51,42,27
1.556,48,96,97,95,244,54,44,26
1.578,49,95,96,98,243,50,43,27
1.58,49,97,100,97,257,50,46,31
1.6,46,92,101,95,211,50,41,29
1.622,48,92,108,98,251,47,41,29
1.644,44,71,106,90,243,43,38,29
1.651,40,76,110,91,274,52,40,31
1.674,40,65,110,88,268,53,44,27
1.697,40,68,110,88,245,53,45,28
1.711,38,67,103,81,234,53,44,25
1.734,36,77,93,73,229,53,43,26
